Simulation started: 24-Sep-2025 09:41:48
[10.000] Step 10/300: Time: 10.0 s, Total Energy: 0.006 kWh, Power: 2.5 kW, Active Cells: 12/12, Drop Rate: 0.77%
[20.000] Step 20/300: Time: 20.0 s, Total Energy: 0.012 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 1.66%
[30.000] Step 30/300: Time: 30.0 s, Total Energy: 0.019 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 1.88%
[40.000] Step 40/300: Time: 40.0 s, Total Energy: 0.026 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 3.14%
[50.000] Step 50/300: Time: 50.0 s, Total Energy: 0.032 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 1.37%
[60.000] Step 60/300: Time: 60.0 s, Total Energy: 0.039 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 2.06%
[70.000] Step 70/300: Time: 70.0 s, Total Energy: 0.046 kWh, Power: 2.5 kW, Active Cells: 12/12, Drop Rate: 2.10%
[80.000] Step 80/300: Time: 80.0 s, Total Energy: 0.052 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 2.10%
[90.000] Step 90/300: Time: 90.0 s, Total Energy: 0.059 kWh, Power: 2.3 kW, Active Cells: 12/12, Drop Rate: 3.43%
[100.000] Step 100/300: Time: 100.0 s, Total Energy: 0.066 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 2.48%
[110.000] Step 110/300: Time: 110.0 s, Total Energy: 0.072 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 3.30%
[120.000] Step 120/300: Time: 120.0 s, Total Energy: 0.079 kWh, Power: 2.4 kW, Active Cells: 12/12, Drop Rate: 1.43%
[130.000] Step 130/300: Time: 130.0 s, Total Energy: 0.086 kWh, Power: 2.5 kW, Active Cells: 12/12, Drop Rate: 3.69%
