Simulation started: 24-Sep-2025 09:57:14
[10.000] Step 10/300: Time: 10.0 s, Total Energy: 0.058 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[20.000] Step 20/300: Time: 20.0 s, Total Energy: 0.118 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[30.000] Step 30/300: Time: 30.0 s, Total Energy: 0.179 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[40.000] Step 40/300: Time: 40.0 s, Total Energy: 0.239 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[50.000] Step 50/300: Time: 50.0 s, Total Energy: 0.299 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[60.000] Step 60/300: Time: 60.0 s, Total Energy: 0.360 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[70.000] Step 70/300: Time: 70.0 s, Total Energy: 0.420 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[80.000] Step 80/300: Time: 80.0 s, Total Energy: 0.481 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[90.000] Step 90/300: Time: 90.0 s, Total Energy: 0.541 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[100.000] Step 100/300: Time: 100.0 s, Total Energy: 0.601 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[110.000] Step 110/300: Time: 110.0 s, Total Energy: 0.662 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[120.000] Step 120/300: Time: 120.0 s, Total Energy: 0.722 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[130.000] Step 130/300: Time: 130.0 s, Total Energy: 0.782 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[140.000] Step 140/300: Time: 140.0 s, Total Energy: 0.843 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[150.000] Step 150/300: Time: 150.0 s, Total Energy: 0.903 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[160.000] Step 160/300: Time: 160.0 s, Total Energy: 0.963 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[170.000] Step 170/300: Time: 170.0 s, Total Energy: 1.023 kWh, Power: 21.7 kW, Drop Rate: 0.15%
[180.000] Step 180/300: Time: 180.0 s, Total Energy: 1.084 kWh, Power: 21.6 kW, Drop Rate: 0.10%
[190.000] Step 190/300: Time: 190.0 s, Total Energy: 1.144 kWh, Power: 21.6 kW, Drop Rate: 0.14%
[200.000] Step 200/300: Time: 200.0 s, Total Energy: 1.204 kWh, Power: 21.6 kW, Drop Rate: 0.10%
[210.000] Step 210/300: Time: 210.0 s, Total Energy: 1.263 kWh, Power: 21.3 kW, Drop Rate: 0.10%
[220.000] Step 220/300: Time: 220.0 s, Total Energy: 1.323 kWh, Power: 21.3 kW, Drop Rate: 0.10%
[230.000] Step 230/300: Time: 230.0 s, Total Energy: 1.382 kWh, Power: 21.4 kW, Drop Rate: 0.10%
[240.000] Step 240/300: Time: 240.0 s, Total Energy: 1.441 kWh, Power: 21.3 kW, Drop Rate: 0.10%
[250.000] Step 250/300: Time: 250.0 s, Total Energy: 1.500 kWh, Power: 21.2 kW, Drop Rate: 0.10%
[260.000] Step 260/300: Time: 260.0 s, Total Energy: 1.559 kWh, Power: 21.1 kW, Drop Rate: 0.10%
[270.000] Step 270/300: Time: 270.0 s, Total Energy: 1.618 kWh, Power: 21.1 kW, Drop Rate: 0.10%
[280.000] Step 280/300: Time: 280.0 s, Total Energy: 1.676 kWh, Power: 21.0 kW, Drop Rate: 0.10%
[290.000] Step 290/300: Time: 290.0 s, Total Energy: 1.734 kWh, Power: 20.9 kW, Drop Rate: 0.10%
[300.000] Step 300/300: Time: 300.0 s, Total Energy: 1.792 kWh, Power: 20.9 kW, Drop Rate: 0.10%
