TIMESTAMP: 10, UE_ID: 30, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.38, RSRP_TARGET: -96.83, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.52, SINR_TARGET: 16.02, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 18, UE_ID: 13, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 2, RSRP_SOURCE: -109.61, RSRP_TARGET: -97.39, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.55, SINR_TARGET: 13.23, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 25, UE_ID: 35, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 6, RSRP_SOURCE: -114.79, RSRP_TARGET: -94.01, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -18.44, SINR_TARGET: 17.20, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 37, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 5, RSRP_SOURCE: -111.44, RSRP_TARGET: -92.08, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.75, SINR_TARGET: 17.70, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 42, UE_ID: 25, CELL_SOURCE_ID: 43, CELL_TARGET_ID: 1, RSRP_SOURCE: -108.28, RSRP_TARGET: -93.75, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.74, SINR_TARGET: 19.69, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 45, UE_ID: 90, CELL_SOURCE_ID: 13, CELL_TARGET_ID: 1, RSRP_SOURCE: -110.53, RSRP_TARGET: -96.73, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.96, SINR_TARGET: 2.07, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 48, UE_ID: 47, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.91, RSRP_TARGET: -97.36, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.15, SINR_TARGET: 13.91, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 48, UE_ID: 56, CELL_SOURCE_ID: 50, CELL_TARGET_ID: 3, RSRP_SOURCE: -112.45, RSRP_TARGET: -96.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.15, SINR_TARGET: 13.44, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 48, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 4, RSRP_SOURCE: -114.91, RSRP_TARGET: -95.46, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.99, SINR_TARGET: 16.67, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 62, UE_ID: 30, CELL_SOURCE_ID: 55, CELL_TARGET_ID: 1, RSRP_SOURCE: -110.50, RSRP_TARGET: -99.09, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.20, SINR_TARGET: 12.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 64, UE_ID: 96, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.24, RSRP_TARGET: -88.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.26, SINR_TARGET: 22.50, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 65, UE_ID: 29, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.04, RSRP_TARGET: -92.41, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.89, SINR_TARGET: 17.30, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 68, UE_ID: 13, CELL_SOURCE_ID: 22, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.57, RSRP_TARGET: -92.32, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.79, SINR_TARGET: 21.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 68, UE_ID: 31, CELL_SOURCE_ID: 30, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.99, RSRP_TARGET: -96.71, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -17.19, SINR_TARGET: 14.94, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 68, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 1, RSRP_SOURCE: -106.20, RSRP_TARGET: -95.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.79, SINR_TARGET: 14.72, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 71, UE_ID: 5, CELL_SOURCE_ID: 19, CELL_TARGET_ID: 1, RSRP_SOURCE: -105.37, RSRP_TARGET: -90.19, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.03, SINR_TARGET: 22.16, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
